il_basin_shapes_GenerateNear2.OBJECTID,il_basin_shapes_GenerateNear2.IN_FID,il_basin_shapes_GenerateNear2.NEAR_FID,il_basin_shapes_GenerateNear2.NEAR_DIST,il_basin_shapes_GenerateNear2.NEAR_RANK,il_basin_shapes.FID,il_basin_shapes.gauge_id,IMS_stations_lla_XYTableToPoint1.OBJECTID,IMS_stations_lla_XYTableToPoint1.stationId,IMS_stations_lla_XYTableToPoint1.latitude,IMS_stations_lla_XYTableToPoint1.longitude
87,18,154,5144.67677981498,3,18,il_30145,154,352,33.23,35.6
88,18,168,6912.26404978051,4,18,il_30145,168,498,33.2277,35.635
89,19,4,164.001035696104,1,19,il_30155,4,10,33.133,35.783
90,19,118,2175.49069469811,2,19,il_30155,118,303,33.1288,35.8045
91,19,137,3085.12803645104,3,19,il_30155,137,324,33.1716,35.6133
92,19,55,3204.30747800596,4,19,il_30155,55,202,33.173,35.613
93,19,168,7501.87626935333,5,19,il_30155,168,498,33.2277,35.635
94,20,155,1291.6658835911,1,20,il_30165,155,353,33.0244,35.5735
95,20,156,1291.6658835911,1,20,il_30165,156,354,33.0244,35.5735
96,20,31,5574.35646495435,2,20,il_30165,31,62,32.982,35.507
97,20,113,8265.72567681246,3,20,il_30165,113,298,32.956,35.3287
98,20,87,8314.90203882362,4,20,il_30165,87,269,32.956,35.328
99,21,155,362.160760684267,1,21,il_30170,155,353,33.0244,35.5735
100,21,156,362.160760684267,1,21,il_30170,156,354,33.0244,35.5735
101,21,31,882.173588630554,2,21,il_30170,31,62,32.982,35.507
102,21,135,8254.64742818906,3,21,il_30170,135,322,32.915,35.5135
103,21,50,8333.35489617831,4,21,il_30170,50,123,32.916,35.533
104,22,55,0,1,22,il_30175,55,202,33.173,35.613
105,22,72,0,1,22,il_30175,72,241,33.241,35.57
106,22,137,0,1,22,il_30175,137,324,33.1716,35.6133
107,22,149,0,1,22,il_30175,149,346,33.2404,35.5696
108,22,150,0,1,22,il_30175,150,348,33.23,35.6
109,23,31,0,1,23,il_31110,31,62,32.982,35.507
110,23,135,290.627074976973,2,23,il_31110,135,322,32.915,35.5135
111,23,50,1979.62033103143,3,23,il_31110,50,123,32.916,35.533
112,23,44,5259.0537379502,4,23,il_31110,44,99,32.863,35.374
113,23,133,5292.65046613512,5,23,il_31110,133,319,32.8621,35.3741
114,24,133,104.871451124478,1,24,il_31115,133,319,32.8621,35.3741
115,24,44,108.436124277802,2,24,il_31115,44,99,32.863,35.374
116,24,138,3189.83050292704,3,24,il_31115,138,325,32.8844,35.3015
117,24,56,3460.267573227,4,24,il_31115,56,205,32.883,35.299
118,24,113,4591.97697557832,5,24,il_31115,113,298,32.956,35.3287
119,25,118,2128.60210135609,1,25,il_31155,118,303,33.1288,35.8045
120,25,4,2840.6986302611,2,25,il_31155,4,10,33.133,35.783
121,25,2,3074.73555160497,3,25,il_31155,2,6,32.881,35.653
122,25,116,3212.71935546371,4,25,il_31155,116,301,32.88,35.6504
123,25,65,5712.95390315976,5,25,il_31155,65,227,32.907,35.748
124,26,2,1966.64589828452,1,26,il_31160,2,6,32.881,35.653
125,26,116,2095.6832704598,2,26,il_31160,116,301,32.88,35.6504
126,26,65,4155.39136379505,3,26,il_31160,65,227,32.907,35.748
127,26,139,4362.12318786332,4,26,il_31160,139,327,32.9052,35.7487
128,26,142,6919.37616154182,5,26,il_31160,142,330,32.8835,35.5792
129,27,65,0,1,27,il_31163,65,227,32.907,35.748
130,27,139,0,1,27,il_31163,139,327,32.9052,35.7487
131,27,2,1093.20416487434,2,27,il_31163,2,6,32.881,35.653
132,27,116,1352.03019924674,3,27,il_31163,116,301,32.88,35.6504
133,27,142,7562.9574239343,4,27,il_31163,142,330,32.8835,35.5792
134,28,1,0,1,28,il_31165,1,2,32.817,35.763
135,28,115,0,1,28,il_31165,115,300,32.8174,35.7622
136,28,139,3165.61040282185,2,28,il_31165,139,327,32.9052,35.7487
137,28,65,3353.92464632401,3,28,il_31165,65,227,32.907,35.748
138,28,2,4826.01665445233,4,28,il_31165,2,6,32.881,35.653
139,29,1,0,1,29,il_31198,1,2,32.817,35.763
140,29,2,0,1,29,il_31198,2,6,32.881,35.653
141,29,3,0,1,29,il_31198,3,8,32.704,35.584
142,29,31,0,1,29,il_31198,31,62,32.982,35.507
143,29,48,0,1,29,il_31198,48,115,32.816,35.599
144,30,4,0,1,30,il_34160,4,10,33.133,35.783
145,30,118,0,1,30,il_34160,118,303,33.1288,35.8045
146,30,1,1222.59656407359,2,30,il_34160,1,2,32.817,35.763
147,30,115,1295.17731594627,3,30,il_34160,115,300,32.8174,35.7622
148,30,157,3558.54358248334,4,30,il_34160,157,355,32.67,35.6
149,31,10,0,1,31,il_18115,10,22,31.771,35.197
150,31,80,0,1,31,il_18115,80,249,31.7704,35.1973
151,31,96,228.735572966957,2,31,il_18115,96,281,31.7878,35.1258
152,31,79,714.247177970269,3,31,il_18115,79,248,31.7806,35.2217
153,31,11,760.496972938837,4,31,il_18115,11,23,31.781,35.222
154,32,97,2514.36330718665,1,32,il_18125,97,282,31.8341,34.9616
155,32,85,2533.4805978458,2,32,il_18125,85,259,31.834,34.961
156,32,103,5420.14881960541,3,32,il_18125,103,288,31.7248,34.9762
157,32,37,6562.4296755829,4,32,il_18125,37,75,31.716,34.966
158,32,102,9296.83403746448,5,32,il_18125,102,287,31.6898,34.9744
159,33,10,0,1,33,il_18131,10,22,31.771,35.197
160,33,37,0,1,33,il_18131,37,75,31.716,34.966
161,33,80,0,1,33,il_18131,80,249,31.7704,35.1973
162,33,96,0,1,33,il_18131,96,281,31.7878,35.1258
163,33,103,0,1,33,il_18131,103,288,31.7248,34.9762
164,34,10,0,1,34,il_18150,10,22,31.771,35.197
165,34,37,0,1,34,il_18150,37,75,31.716,34.966
166,34,49,0,1,34,il_18150,49,121,31.793,34.804
167,34,80,0,1,34,il_18150,80,249,31.7704,35.1973
168,34,96,0,1,34,il_18150,96,281,31.7878,35.1258
169,35,49,3654.56692000298,1,35,il_18178,49,121,31.793,34.804
170,35,98,3799.78673076874,2,35,il_18178,98,283,31.791,34.805
171,35,85,4494.26341754163,3,35,il_18178,85,259,31.834,34.961
172,35,97,4543.1284103185,4,35,il_18178,97,282,31.8341,34.9616
173,35,99,5654.84949353715,5,35,il_18178,99,284,31.8166,34.7244
174,36,10,0,1,36,il_18180,10,22,31.771,35.197
175,36,37,0,1,36,il_18180,37,75,31.716,34.966
176,36,49,0,1,36,il_18180,49,121,31.793,34.804
177,36,80,0,1,36,il_18180,80,249,31.7704,35.1973
178,36,96,0,1,36,il_18180,96,281,31.7878,35.1258
179,37,13,0,1,37,il_19180,13,25,31.683,34.983
180,37,38,0,1,37,il_19180,38,77,31.665,35.124
181,37,41,0,1,37,il_19180,41,82,31.658,34.681
182,37,69,0,1,37,il_19180,69,236,31.616,34.783
183,37,83,0,1,37,il_19180,83,252,31.6585,34.6798
184,38,15,0,1,38,il_23137,15,28,31.35,35.049
185,38,54,0,1,38,il_23137,54,188,31.47,35.07
186,38,71,0,1,38,il_23137,71,240,31.25,35.1855
187,38,107,0,1,38,il_23137,107,292,31.3568,35.0662
188,38,108,0,1,38,il_23137,108,293,31.2515,34.7995
189,39,100,565.875640964739,1,39,il_19130,100,285,31.6303,34.7913
190,39,69,1993.11415102411,2,39,il_19130,69,236,31.616,34.783
191,39,54,3853.89089491698,3,39,il_19130,54,188,31.47,35.07
192,39,41,6419.90790946144,4,39,il_19130,41,82,31.658,34.681
193,39,83,6452.92827538952,5,39,il_19130,83,252,31.6585,34.6798
194,40,13,0,1,40,il_19160,13,25,31.683,34.983
195,40,38,0,1,40,il_19160,38,77,31.665,35.124
196,40,101,0,1,40,il_19160,101,286,31.6644,35.1233
197,40,102,0,1,40,il_19160,102,287,31.6898,34.9744
198,40,37,1055.30963192155,2,40,il_19160,37,75,31.716,34.966
199,41,13,0,1,41,il_19178,13,25,31.683,34.983
200,41,38,0,1,41,il_19178,38,77,31.665,35.124
201,41,101,0,1,41,il_19178,101,286,31.6644,35.1233
202,41,102,0,1,41,il_19178,102,287,31.6898,34.9744
203,41,98,592.103927512933,2,41,il_19178,98,283,31.791,34.805
204,42,87,0,1,42,il_2105,87,269,32.956,35.328
205,42,113,0,1,42,il_2105,113,298,32.956,35.3287
206,42,70,1850.03439366262,2,42,il_2105,70,239,33.0653,35.2173
207,42,35,1932.32609882703,3,42,il_2105,35,73,33.066,35.217
208,42,134,2657.39694209447,4,42,il_2105,134,320,33.0806,35.1079
209,43,153,1094.35893348512,1,43,il_21105,153,351,31.3812,34.8729
210,43,30,9040.05345674892,2,43,il_21105,30,59,31.333,34.783
211,44,153,0,1,44,il_21120,153,351,31.3812,34.8729
212,44,54,4882.8431354919,2,44,il_21120,54,188,31.47,35.07
213,44,152,8512.7841251392,3,44,il_21120,152,350,31.3,34.87
214,44,69,8625.58586465917,4,44,il_21120,69,236,31.616,34.783
215,44,30,9653.47931847378,5,44,il_21120,30,59,31.333,34.783
216,45,153,0,1,45,il_21130,153,351,31.3812,34.8729
217,45,76,1969.41104054721,2,45,il_21130,76,245,31.5036,34.648
218,45,40,2870.04319525319,3,45,il_21130,40,79,31.5,34.633
219,45,54,4882.84331502798,4,45,il_21130,54,188,31.47,35.07
220,45,69,6181.89786110526,5,45,il_21130,69,236,31.616,34.783
221,46,108,2585.60820335749,1,46,il_23134,108,293,31.2515,34.7995
222,46,109,3515.55776956425,2,46,il_23134,109,294,31.0708,34.8513
223,46,164,4017.33567304415,3,46,il_23134,164,411,31.2642,34.8045
