OBJECTID,Join_Count,TARGET_FID,JOIN_FID,gauge_id,ims_1,NEAR_DIST,NEAR_X,NEAR_Y,stationId,latitude,longitude,NEAR_FID,Shape_Length,Shape_Area
51,1,6,37,il_17168,0,-1,-1,-1,75,31.716,34.966,33,1.4426694000438,0.0752500901513421
52,1,6,52,il_17168,0,-1,-1,-1,178,32.059,34.759,6,1.4426694000438,0.0752500901513421
53,1,6,62,il_17168,0,-1,-1,-1,212,32.0073,34.8138,6,1.4426694000438,0.0752500901513421
54,1,6,79,il_17168,0,-1,-1,-1,248,31.7806,35.2217,33,1.4426694000438,0.0752500901513421
55,1,6,80,il_17168,0,-1,-1,-1,249,31.7704,35.1973,31,1.4426694000438,0.0752500901513421
56,1,6,85,il_17168,0,-1,-1,-1,259,31.834,34.961,2,1.4426694000438,0.0752500901513421
57,1,6,88,il_17168,0,-1,-1,-1,270,32.127,35.026,0,1.4426694000438,0.0752500901513421
58,1,6,93,il_17168,0,-1,-1,-1,278,31.9449,35.1499,3,1.4426694000438,0.0752500901513421
59,1,6,96,il_17168,0,-1,-1,-1,281,31.7878,35.1258,33,1.4426694000438,0.0752500901513421
60,1,6,97,il_17168,0,-1,-1,-1,282,31.8341,34.9616,2,1.4426694000438,0.0752500901513421
61,1,6,103,il_17168,0,-1,-1,-1,288,31.7248,34.9762,33,1.4426694000438,0.0752500901513421
62,1,6,114,il_17168,0,-1,-1,-1,299,32.058,34.7588,6,1.4426694000438,0.0752500901513421
63,1,7,8,il_17123,0,-1,-1,-1,20,32.166,35.099,0,1.25048958798847,0.0347033433041629
64,1,7,9,il_17123,0,-1,-1,-1,21,32.106,35.212,0,1.25048958798847,0.0347033433041629
65,1,7,12,il_17123,0,-1,-1,-1,24,31.933,35.15,3,1.25048958798847,0.0347033433041629
66,1,7,42,il_17123,0,-1,-1,-1,90,32.166,35.349,8,1.25048958798847,0.0347033433041629
67,1,7,73,il_17123,0,-1,-1,-1,242,32.1056,35.2114,0,1.25048958798847,0.0347033433041629
68,1,7,78,il_17123,0,-1,-1,-1,247,32.1752,35.0959,0,1.25048958798847,0.0347033433041629
69,1,7,88,il_17123,0,-1,-1,-1,270,32.127,35.026,0,1.25048958798847,0.0347033433041629
70,1,7,92,il_17123,0,-1,-1,-1,277,32.1598,35.3513,0,1.25048958798847,0.0347033433041629
71,1,7,93,il_17123,0,-1,-1,-1,278,31.9449,35.1499,3,1.25048958798847,0.0347033433041629
72,1,8,8,il_17135,0,-1,-1,-1,20,32.166,35.099,0,1.73233449215999,0.0911332432438416
