OBJECTID,Join_Count,TARGET_FID,JOIN_FID,gauge_id,stationId,NEAR_FID,NEAR_DIST,Shape_Length,Shape_Area
1,1,0,8,il_17110,20,0,0,0.991498192914059,0.022809563580088
2,1,0,9,il_17110,21,0,0,0.991498192914059,0.022809563580088
3,1,0,42,il_17110,90,8,0.00120810534578137,0.991498192914059,0.022809563580088
4,1,0,73,il_17110,242,0,0,0.991498192914059,0.022809563580088
5,1,0,78,il_17110,247,0,0,0.991498192914059,0.022809563580088
6,1,0,88,il_17110,270,0,0,0.991498192914059,0.022809563580088
7,1,0,92,il_17110,277,0,0,0.991498192914059,0.022809563580088
8,1,1,8,il_17117,20,0,0,1.27243745055452,0.0350132380589765
9,1,1,9,il_17117,21,0,0,1.27243745055452,0.0350132380589765
10,1,1,12,il_17117,24,3,0,1.27243745055452,0.0350132380589765
11,1,1,42,il_17117,90,8,0.00120810534578137,1.27243745055452,0.0350132380589765
12,1,1,73,il_17117,242,0,0,1.27243745055452,0.0350132380589765
13,1,1,78,il_17117,247,0,0,1.27243745055452,0.0350132380589765
14,1,1,88,il_17117,270,0,0,1.27243745055452,0.0350132380589765
15,1,1,92,il_17117,277,0,0,1.27243745055452,0.0350132380589765
16,1,1,93,il_17117,278,3,0,1.27243745055452,0.0350132380589765
17,1,2,10,il_17144,22,31,0,0.915158605266047,0.0283773470711457
18,1,2,11,il_17144,23,33,0.00692562182828133,0.915158605266047,0.0283773470711457
19,1,2,12,il_17144,24,3,0,0.915158605266047,0.0283773470711457
20,1,2,28,il_17144,54,6,0,0.915158605266047,0.0283773470711457
21,1,2,37,il_17144,75,33,0,0.915158605266047,0.0283773470711457
22,1,2,62,il_17144,212,6,0,0.915158605266047,0.0283773470711457
23,1,2,79,il_17144,248,33,0.00648417422174634,0.915158605266047,0.0283773470711457
24,1,2,80,il_17144,249,31,0,0.915158605266047,0.0283773470711457
25,1,2,85,il_17144,259,2,0,0.915158605266047,0.0283773470711457
26,1,2,93,il_17144,278,3,0,0.915158605266047,0.0283773470711457
27,1,2,96,il_17144,281,33,0,0.915158605266047,0.0283773470711457
28,1,2,97,il_17144,282,2,0,0.915158605266047,0.0283773470711457
29,1,2,103,il_17144,288,33,0,0.915158605266047,0.0283773470711457
30,1,3,12,il_17155,24,3,0,0.932036836855811,0.0233747040933483
31,1,3,93,il_17155,278,3,0,0.932036836855811,0.0233747040933483
32,1,3,96,il_17155,281,33,0,0.932036836855811,0.0233747040933483
33,1,4,88,il_17162,270,0,0,0.45144227118718,0.00864555788324099
34,1,5,10,il_17164,22,31,0,1.27776201820274,0.0535222115754178
35,1,5,11,il_17164,23,33,0.00692562182828133,1.27776201820274,0.0535222115754178
36,1,5,12,il_17164,24,3,0,1.27776201820274,0.0535222115754178
37,1,5,28,il_17164,54,6,0,1.27776201820274,0.0535222115754178
38,1,5,37,il_17164,75,33,0,1.27776201820274,0.0535222115754178
39,1,5,62,il_17164,212,6,0,1.27776201820274,0.0535222115754178
40,1,5,79,il_17164,248,33,0.00648417422174634,1.27776201820274,0.0535222115754178
41,1,5,80,il_17164,249,31,0,1.27776201820274,0.0535222115754178
42,1,5,85,il_17164,259,2,0,1.27776201820274,0.0535222115754178
