il_basin_shapes_GenerateNear1.OBJECTID,il_basin_shapes_GenerateNear1.IN_FID,il_basin_shapes_GenerateNear1.NEAR_FID,il_basin_shapes_GenerateNear1.NEAR_DIST,il_basin_shapes_GenerateNear1.NEAR_RANK,il_basin_shapes.FID,il_basin_shapes.gauge_id,IMS_stations_lla_XYTableToPoint1.OBJECTID,IMS_stations_lla_XYTableToPoint1.stationId,IMS_stations_lla_XYTableToPoint1.latitude,IMS_stations_lla_XYTableToPoint1.longitude
1,0,8,0,1,0,il_17110,8,20,32.166,35.099
2,0,9,0,1,0,il_17110,9,21,32.106,35.212
3,0,73,0,1,0,il_17110,73,242,32.1056,35.2114
4,0,78,0,1,0,il_17110,78,247,32.1752,35.0959
5,0,88,0,1,0,il_17110,88,270,32.127,35.026
6,1,73,0.00192594220501532,1,1,il_17117,73,242,32.1056,35.2114
7,1,9,0.00259022472186308,2,1,il_17117,9,21,32.106,35.212
8,1,92,0.0249769941208285,3,1,il_17117,92,277,32.1598,35.3513
9,1,42,0.0304000988759764,4,1,il_17117,42,90,32.166,35.349
10,1,93,0.0326792186988264,5,1,il_17117,93,278,31.9449,35.1499
11,2,85,0,1,2,il_17144,85,259,31.834,34.961
12,2,97,0,1,2,il_17144,97,282,31.8341,34.9616
13,2,96,0.0276436589212627,2,2,il_17144,96,281,31.7878,35.1258
14,2,12,0.0577027832222662,3,2,il_17144,12,24,31.933,35.15
15,2,93,0.0677436309913676,4,2,il_17144,93,278,31.9449,35.1499
16,3,12,0,1,3,il_17155,12,24,31.933,35.15
17,3,93,0,1,3,il_17155,93,278,31.9449,35.1499
18,3,96,0.0824081051649512,2,3,il_17155,96,281,31.7878,35.1258
19,4,88,0.0816437430101217,1,4,il_17162,88,270,32.127,35.026
20,5,12,0,1,5,il_17164,12,24,31.933,35.15
21,5,85,0,1,5,il_17164,85,259,31.834,34.961
22,5,93,0,1,5,il_17164,93,278,31.9449,35.1499
23,5,97,0,1,5,il_17164,97,282,31.8341,34.9616
24,5,96,0.0276436606783333,2,5,il_17164,96,281,31.7878,35.1258
25,6,12,0,1,6,il_17168,12,24,31.933,35.15
26,6,28,0,1,6,il_17168,28,54,32.009,34.814
27,6,62,0,1,6,il_17168,62,212,32.0073,34.8138
28,6,85,0,1,6,il_17168,85,259,31.834,34.961
29,6,93,0,1,6,il_17168,93,278,31.9449,35.1499
30,7,73,0.0019259413569191,1,7,il_17123,73,242,32.1056,35.2114
31,7,9,0.00259022383657836,2,7,il_17123,9,21,32.106,35.212
32,7,92,0.024976992593629,3,7,il_17123,92,277,32.1598,35.3513
33,7,42,0.0304000974888707,4,7,il_17123,42,90,32.166,35.349
34,7,93,0.0326792129570461,5,7,il_17123,93,278,31.9449,35.1499
35,8,8,0,1,8,il_17135,8,20,32.166,35.099
36,8,9,0,1,8,il_17135,9,21,32.106,35.212
37,8,73,0,1,8,il_17135,73,242,32.1056,35.2114
38,8,78,0,1,8,il_17135,78,247,32.1752,35.0959
39,8,88,0,1,8,il_17135,88,270,32.127,35.026
40,9,131,0.000165572652434566,1,9,il_12130,131,317,32.6028,35.0964
41,9,34,0.0210422374631322,2,9,il_12130,34,67,32.633,35.099
42,9,128,0.0341476619425472,3,9,il_12130,128,314,32.5724,34.9546
43,9,26,0.0413010182247797,4,9,il_12130,26,45,32.566,34.95
44,9,127,0.0797587340254081,5,9,il_12130,127,313,32.6808,34.9594
45,10,128,0,1,10,il_12140,128,314,32.5724,34.9546
46,10,131,0.00016557205266836,2,10,il_12140,131,317,32.6028,35.0964
47,10,26,0.00510114673937674,3,10,il_12140,26,45,32.566,34.95
48,10,34,0.0210422342575188,4,10,il_12140,34,67,32.633,35.099
49,10,127,0.0613238200673806,5,10,il_12140,127,313,32.6808,34.9594
50,11,131,0.0137084188368482,1,11,il_13105,131,317,32.6028,35.0964
51,11,128,0.0423511061339832,2,11,il_13105,128,314,32.5724,34.9546
52,11,34,0.0428180010117689,3,11,il_13105,34,67,32.633,35.099
53,11,26,0.0471627881934832,4,11,il_13105,26,45,32.566,34.95
54,12,131,0.0539169785872631,1,12,il_13125,131,317,32.6028,35.0964
55,12,26,0.0625452785054823,2,12,il_13125,26,45,32.566,34.95
56,12,128,0.0632243812183485,3,12,il_13125,128,314,32.5724,34.9546
57,12,34,0.0841962652406772,4,12,il_13125,34,67,32.633,35.099
58,13,131,0.0656536536249559,1,13,il_13135,131,317,32.6028,35.0964
59,13,26,0.0796606745438542,2,13,il_13135,26,45,32.566,34.95
60,13,128,0.0820149522843777,3,13,il_13135,128,314,32.5724,34.9546
61,14,131,0.0539169780343443,1,14,il_13146,131,317,32.6028,35.0964
62,14,26,0.0544418949377533,2,14,il_13146,26,45,32.566,34.95
63,14,128,0.0590399672118451,3,14,il_13146,128,314,32.5724,34.9546
64,14,27,0.0807877334685301,4,14,il_13146,27,46,32.474,34.883
65,14,129,0.082485111143099,5,14,il_13146,129,315,32.4732,34.8815
66,15,131,0.0782067367589174,1,15,il_14115,131,317,32.6028,35.0964
67,16,46,0.0296210056150206,1,16,il_14120,46,107,32.388,34.938
68,16,77,0.0300889576877088,2,16,il_14120,77,246,32.3877,34.9376
69,16,27,0.0774335808477547,3,16,il_14120,27,46,32.474,34.883
70,16,131,0.0782067343710328,4,16,il_14120,131,317,32.6028,35.0964
71,16,129,0.0782892220432801,5,16,il_14120,129,315,32.4732,34.8815
72,17,46,0,1,17,il_15120,46,107,32.388,34.938
73,17,77,0,1,17,il_15120,77,246,32.3877,34.9376
74,17,78,0.0343523742730002,2,17,il_15120,78,247,32.1752,35.0959
75,17,8,0.035977711019005,3,17,il_15120,8,20,32.166,35.099
76,17,27,0.07182594108399,4,17,il_15120,27,46,32.474,34.883
77,18,72,0.0331738475194654,1,18,il_30145,72,241,33.241,35.57
78,18,149,0.0337839813181757,2,18,il_30145,149,346,33.2404,35.5696
79,18,150,0.0469405711122093,3,18,il_30145,150,348,33.23,35.6
80,18,154,0.0469405711122093,3,18,il_30145,154,352,33.23,35.6
81,18,168,0.06759517022638,4,18,il_30145,168,498,33.2277,35.635
82,19,4,0.00167715427796307,1,19,il_30155,4,10,33.133,35.783
83,19,118,0.0232118773797578,2,19,il_30155,118,303,33.1288,35.8045
84,19,137,0.0311942499451745,3,19,il_30155,137,324,33.1716,35.6133
85,19,55,0.0322278699755522,4,19,il_30155,55,202,33.173,35.613
86,19,168,0.0693561177114944,5,19,il_30155,168,498,33.2277,35.635
87,20,155,0.011648293013054,1,20,il_30165,155,353,33.0244,35.5735
88,20,156,0.011648293013054,1,20,il_30165,156,354,33.0244,35.5735
89,20,31,0.0515261041238842,2,20,il_30165,31,62,32.982,35.507
90,20,113,0.0826330329603041,3,20,il_30165,113,298,32.956,35.3287
91,20,87,0.0831957881017859,4,20,il_30165,87,269,32.956,35.328
92,21,155,0.00334989694578014,1,21,il_30170,155,353,33.0244,35.5735
93,21,156,0.00334989694578014,1,21,il_30170,156,354,33.0244,35.5735
94,21,31,0.0080071155658926,2,21,il_30170,31,62,32.982,35.507
95,21,135,0.074431499115089,3,21,il_30170,135,322,32.915,35.5135
96,21,50,0.0758052150370056,4,21,il_30170,50,123,32.916,35.533
97,22,55,0,1,22,il_30175,55,202,33.173,35.613
98,22,72,0,1,22,il_30175,72,241,33.241,35.57
99,22,137,0,1,22,il_30175,137,324,33.1716,35.6133
100,22,149,0,1,22,il_30175,149,346,33.2404,35.5696
101,22,150,0,1,22,il_30175,150,348,33.23,35.6
102,23,31,0,1,23,il_31110,31,62,32.982,35.507
103,23,135,0.00308261904639302,2,23,il_31110,135,322,32.915,35.5135
104,23,50,0.020053639588911,3,23,il_31110,50,123,32.916,35.533
105,23,44,0.0547953667380717,4,23,il_31110,44,99,32.863,35.374
106,23,133,0.0550308381542118,5,23,il_31110,133,319,32.8621,35.3741
107,24,133,0.0011196780522612,1,24,il_31115,133,319,32.8621,35.3741
108,24,44,0.00115775237359592,2,24,il_31115,44,99,32.863,35.374
109,24,138,0.0336529141712626,3,24,il_31115,138,325,32.8844,35.3015
110,24,56,0.0364337573578584,4,24,il_31115,56,205,32.883,35.299
111,24,113,0.0448778072942884,5,24,il_31115,113,298,32.956,35.3287
112,25,118,0.0192547329547039,1,25,il_31155,118,303,33.1288,35.8045
113,25,4,0.0264636328399902,2,25,il_31155,4,10,33.133,35.783
114,25,2,0.0277584753412632,3,25,il_31155,2,6,32.881,35.653
115,25,116,0.0291005721820171,4,25,il_31155,116,301,32.88,35.6504
116,25,65,0.058292109478614,5,25,il_31155,65,227,32.907,35.748
117,26,2,0.0177341822031241,1,26,il_31160,2,6,32.881,35.653
118,26,116,0.01896348334654,2,26,il_31160,116,301,32.88,35.6504
119,26,65,0.0376031140148013,3,26,il_31160,65,227,32.907,35.748
120,26,139,0.0394928999233731,4,26,il_31160,139,327,32.9052,35.7487
121,26,142,0.073243420192825,5,26,il_31160,142,330,32.8835,35.5792
122,27,65,0,1,27,il_31163,65,227,32.907,35.748
123,27,139,0,1,27,il_31163,139,327,32.9052,35.7487
124,27,2,0.0108973737487997,2,27,il_31163,2,6,32.881,35.653
125,27,116,0.013511652845982,3,27,il_31163,116,301,32.88,35.6504
126,27,115,0.0743209569545668,4,27,il_31163,115,300,32.8174,35.7622
127,28,1,0,1,28,il_31165,1,2,32.817,35.763
128,28,115,0,1,28,il_31165,115,300,32.8174,35.7622
129,28,139,0.0299885193183469,2,28,il_31165,139,327,32.9052,35.7487
130,28,65,0.0319027903889886,3,28,il_31165,65,227,32.907,35.748
131,28,116,0.0444691041367854,4,28,il_31165,116,301,32.88,35.6504
132,29,1,0,1,29,il_31198,1,2,32.817,35.763
133,29,2,0,1,29,il_31198,2,6,32.881,35.653
134,29,3,0,1,29,il_31198,3,8,32.704,35.584
135,29,31,0,1,29,il_31198,31,62,32.982,35.507
