gauge_id,ims_1,dist_1,ims_2,dist_2,ims_3,dist_3,ims_4,dist_4,ims_5,dist_5
il_56140,296,0.0,379,0.0036117245195217,265,0.0040188535656431,,,,
il_56150,296,0.0,379,0.0036117237052624,265,0.0040188527559605,33,0.0785116971434458,,
il_56164,296,0.0,379,0.0036117237052624,265,0.0040188527559605,33,0.0745291902799422,,
il_57190,35,0.0125770743267892,207,0.013107126337471,297,0.0141465180180773,,,,
il_58150,232,0.0223302212316131,329,0.0224702943032931,309,0.0750222737590771,36,0.0756218694636045,,
il_58175,232,0.0,329,0.0,,,,,,
il_59195,295,0.046110981367836,,,,,,,,
il_60105,329,0.030581459893234,232,0.0308431376781203,,,,,,
il_60110,329,0.0305814604327276,232,0.0308431382000728,,,,,,
il_60170,316,0.0552853121036751,64,0.0563473808565642,,,,,,
il_60190,316,0.042355841898411,64,0.0443801022784009,,,,,,
il_7105,99,0.0,205,0.0,319,0.0,325,0.0,269,0.0008779582851143
il_8130,67,0.0,317,0.0017038233834968,,,,,,
il_8140,186,0.0010110762970476,323,0.0019213664317743,67,0.0589433627716763,317,0.0848195673071987,,
il_8146,16,0.0,67,0.0,186,0.0,306,0.0,317,0.0
il_8155,319,0.0132002006606037,99,0.0140926564592554,186,0.027876644693812,323,0.0288161719400946,205,0.0425575794094917
il_48188,32,0.0380847484263227,240,0.0724251741064882,29,0.0724826804040789,,,,
