gauge_id,ims_1,dist_1,ims_2,dist_2,ims_3,dist_3,ims_4,dist_4,ims_5,dist_5
il_31115,319,104.871451124478,99,108.436124277802,325,3189.83050292704,205,3460.267573227,298,4591.97697557832
il_31155,303,2128.60210135609,10,2840.6986302611,6,3074.73555160497,301,3212.71935546371,227,5712.95390315976
il_31160,6,1966.64589828452,301,2095.6832704598,227,4155.39136379505,327,4362.12318786332,330,6919.37616154182
il_31163,227,0.0,327,0.0,6,1093.20416487434,301,1352.03019924674,330,7562.9574239343
il_31165,2,0.0,300,0.0,327,3165.61040282185,227,3353.92464632401,6,4826.01665445233
il_31198,2,0.0,6,0.0,8,0.0,62,0.0,115,0.0
il_34160,10,0.0,303,0.0,2,1222.59656407359,300,1295.17731594627,355,3558.54358248334
il_18115,22,0.0,249,0.0,281,228.735572966957,248,714.247177970269,23,760.496972938837
il_18125,282,2514.36330718665,259,2533.4805978458,288,5420.14881960541,75,6562.4296755829,287,9296.83403746448
il_18131,22,0.0,75,0.0,249,0.0,281,0.0,288,0.0
il_18150,22,0.0,75,0.0,121,0.0,249,0.0,281,0.0
il_18178,121,3654.56692000298,283,3799.78673076874,259,4494.26341754163,282,4543.1284103185,284,5654.84949353715
il_18180,22,0.0,75,0.0,121,0.0,249,0.0,281,0.0
il_19180,25,0.0,77,0.0,82,0.0,236,0.0,252,0.0
il_23137,28,0.0,188,0.0,240,0.0,292,0.0,293,0.0
il_19130,285,565.875640964739,236,1993.11415102411,188,3853.89089491698,82,6419.90790946144,252,6452.92827538952
il_19160,25,0.0,77,0.0,286,0.0,287,0.0,75,1055.30963192155
il_19178,25,0.0,77,0.0,286,0.0,287,0.0,283,592.103927512933
il_2105,269,0.0,298,0.0,239,1850.03439366262,73,1932.32609882703,320,2657.39694209447
il_21105,351,1094.35893348512,59,9040.05345674892,,,,,,
il_21120,351,0.0,188,4882.8431354919,350,8512.7841251392,236,8625.58586465917,59,9653.47931847378
il_21130,351,0.0,245,1969.41104054721,79,2870.04319525319,188,4882.84331502798,236,6181.89786110526
il_23134,293,2585.60820335749,294,3515.55776956425,411,4017.33567304415,412,4017.33567304415,112,4090.3450496296
il_23150,28,0.0,98,0.0,112,0.0,188,0.0,240,0.0
