il_basin_shape_G_ExportTable.OBJECTID,il_basin_shape_G_ExportTable.IN_FID,il_basin_shape_G_ExportTable.NEAR_FID,il_basin_shape_G_ExportTable.NEAR_DIST,il_basin_shape_G_ExportTable.NEAR_RANK,il_basin_shape_G_ExportTable.FROM_X,il_basin_shape_G_ExportTable.FROM_Y,il_basin_shape_G_ExportTable.NEAR_X,il_basin_shape_G_ExportTable.NEAR_Y,il_basin_shape_G_ExportTable.FID,il_basin_shape_G_ExportTable.gauge_id,IMS_stations_lla_pint.OBJECTID,IMS_stations_lla_pint.stationId,IMS_stations_lla_pint.latitude,IMS_stations_lla_pint.longitude
40,5,28,0.0518558575969031,4,34.8653850470089,32.0020281343232,34.8140000000001,32.0090000000001,5,il_17164,28,54,32.009,34.814
41,5,103,0.0712561688503152,5,34.9985608296248,31.79245674318,34.9762000000001,31.7248000000001,5,il_17164,103,288,31.7248,34.9762
42,5,10,0.0759839785989099,6,35.1533371124778,31.8331861500412,35.1970000000001,31.7710000000001,5,il_17164,10,22,31.771,35.197
43,5,80,0.076647479516832,7,35.1533371124778,31.8331861500412,35.1973,31.7704000000001,5,il_17164,80,249,31.7704,35.1973
44,5,37,0.0831013911047052,8,34.9985608296248,31.79245674318,34.9660000000001,31.7160000000001,5,il_17164,37,75,31.716,34.966
45,5,11,0.0861650399081427,9,35.1552443466504,31.835480242733,35.222,31.7810000000001,5,il_17164,11,23,31.781,35.222
46,5,79,0.0861869764207579,10,35.1552443466504,31.835480242733,35.2217000000001,31.7806000000001,5,il_17164,79,248,31.7806,35.2217
47,6,12,0,1,35.15,31.9330000000001,35.15,31.9330000000001,6,il_17168,12,24,31.933,35.15
48,6,28,0,1,34.8140000000001,32.0090000000001,34.8140000000001,32.0090000000001,6,il_17168,28,54,32.009,34.814
49,6,62,0,1,34.8138000000001,32.0073,34.8138000000001,32.0073,6,il_17168,62,212,32.0073,34.8138
50,6,85,0,1,34.9610000000001,31.8340000000001,34.9610000000001,31.8340000000001,6,il_17168,85,259,31.834,34.961
51,6,93,0,1,35.1499000000001,31.9449000000001,35.1499000000001,31.9449000000001,6,il_17168,93,278,31.9449,35.1499
52,6,97,0,1,34.9616,31.8341,34.9616,31.8341,6,il_17168,97,282,31.8341,34.9616
53,6,96,0.0276436606783333,2,35.1039212655594,31.8046965367746,35.1258,31.7878000000001,6,il_17168,96,281,31.7878,35.1258
54,6,114,0.0373436714263057,3,34.7910859872528,32.0392339449349,34.7588000000001,32.0580000000001,6,il_17168,114,299,32.058,34.7588
55,6,52,0.0376856406449963,4,34.7910859872528,32.0392339449349,34.7590000000001,32.059,6,il_17168,52,178,32.059,34.759
56,6,103,0.0712561688503152,5,34.9985608296248,31.79245674318,34.9762000000001,31.7248000000001,6,il_17168,103,288,31.7248,34.9762
57,6,10,0.0759839785989099,6,35.1533371124778,31.8331861500412,35.1970000000001,31.7710000000001,6,il_17168,10,22,31.771,35.197
58,6,80,0.076647479516832,7,35.1533371124778,31.8331861500412,35.1973,31.7704000000001,6,il_17168,80,249,31.7704,35.1973
59,6,88,0.0816437474500421,8,35.0351091352387,32.0458660049493,35.0260000000001,32.1270000000001,6,il_17168,88,270,32.127,35.026
60,6,37,0.0831013911047052,9,34.9985608296248,31.79245674318,34.9660000000001,31.7160000000001,6,il_17168,37,75,31.716,34.966
61,6,11,0.0861650399081427,10,35.1552443466504,31.835480242733,35.222,31.7810000000001,6,il_17168,11,23,31.781,35.222
62,6,79,0.0861869764207579,11,35.1552443466504,31.835480242733,35.2217000000001,31.7806000000001,6,il_17168,79,248,31.7806,35.2217
63,7,73,0.0019259413569191,1,35.2103394919273,32.1039923393586,35.2114,32.1056,7,il_17123,73,242,32.1056,35.2114
64,7,9,0.00259022383657836,2,35.2105737087586,32.1038378360798,35.212,32.1060000000001,7,il_17123,9,21,32.106,35.212
65,7,92,0.024976992593629,3,35.3432985751875,32.1361393288348,35.3513,32.1598000000001,7,il_17123,92,277,32.1598,35.3513
66,7,42,0.0304000974888707,4,35.3432985751875,32.1361393288348,35.349,32.1660000000001,7,il_17123,42,90,32.166,35.349
67,7,93,0.0326792129570461,5,35.1825410764355,31.9464783182911,35.1499000000001,31.9449000000001,7,il_17123,93,278,31.9449,35.1499
68,7,12,0.035221963595654,6,35.1825410764355,31.9464783182911,35.15,31.9330000000001,7,il_17123,12,24,31.933,35.15
69,7,88,0.0567961808732009,7,35.0315425975681,32.0704749102259,35.0260000000001,32.1270000000001,7,il_17123,88,270,32.127,35.026
70,7,8,0.0760056682095104,8,35.1373138943212,32.1003577338759,35.099,32.1660000000001,7,il_17123,8,20,32.166,35.099
71,7,78,0.0855363983427836,9,35.1373138943212,32.1003577338759,35.0959,32.1752000000001,7,il_17123,78,247,32.1752,35.0959
72,8,8,0,1,35.099,32.1660000000001,35.099,32.1660000000001,8,il_17135,8,20,32.166,35.099
73,8,9,0,1,35.212,32.1060000000001,35.212,32.1060000000001,8,il_17135,9,21,32.106,35.212
74,8,73,0,1,35.2114,32.1056,35.2114,32.1056,8,il_17135,73,242,32.1056,35.2114
75,8,78,0,1,35.0959,32.1752000000001,35.0959,32.1752000000001,8,il_17135,78,247,32.1752,35.0959
76,8,88,0,1,35.0260000000001,32.1270000000001,35.0260000000001,32.1270000000001,8,il_17135,88,270,32.127,35.026
77,8,92,0,1,35.3513,32.1598000000001,35.3513,32.1598000000001,8,il_17135,92,277,32.1598,35.3513
78,8,42,0.00120810534578137,2,35.3490810235367,32.1647946147036,35.349,32.1660000000001,8,il_17135,42,90,32.166,35.349
79,8,93,0.0326792186988264,3,35.182541081849,31.946478325218,35.1499000000001,31.9449000000001,8,il_17135,93,278,31.9449,35.1499
80,8,12,0.0352219712478543,4,35.182541081849,31.946478325218,35.15,31.9330000000001,8,il_17135,12,24,31.933,35.15
81,8,28,0.07084720794978,5,34.8577505123274,32.0647244968159,34.8140000000001,32.0090000000001,8,il_17135,28,54,32.009,34.814
82,8,62,0.0723133484799854,6,34.8577505123274,32.0647244968159,34.8138000000001,32.0073,8,il_17135,62,212,32.0073,34.8138
